,Data
1538,-0.206
1539,-0.231
1540,-0.235
1541,-0.218
1542,-0.182
1543,-0.132
1544,-0.072
1545,-0.01
1546,0.05
1547,0.101
1548,0.139
1549,0.16
1550,0.164
1551,0.151
1552,0.124
1553,0.087
1554,0.047
1555,0.007
1556,-0.027
1557,-0.05
1558,-0.061
1559,-0.059
1560,-0.044
1561,-0.021
1562,0.006
1563,0.03
1564,0.046
1565,0.049
1566,0.037
1567,0.01
1568,-0.028
1569,-0.073
1570,-0.119
1571,-0.158
1572,-0.184
1573,-0.193
1574,-0.181
1575,-0.148
1576,-0.097
1577,-0.032
1578,0.04
1579,0.112
1580,0.176
1581,0.227
1582,0.259
1583,0.269
1584,0.256
1585,0.221
1586,0.168
1587,0.105
1588,0.038
1589,-0.024
1590,-0.074
1591,-0.108
1592,-0.125
1593,-0.125
1594,-0.112
1595,-0.089
1596,-0.061
1597,-0.033
1598,-0.006
1599,0.016
1600,0.034
1601,0.046
1602,0.051
1603,0.05
1604,0.04
1605,0.022
1606,-0.004
1607,-0.036
1608,-0.071
1609,-0.106
1610,-0.136
1611,-0.159
1612,-0.171
1613,-0.172
1614,-0.161
1615,-0.138
1616,-0.107
1617,-0.071
1618,-0.033
1619,0.003
1620,0.035
1621,0.06
1622,0.08
1623,0.095
1624,0.108
1625,0.121
1626,0.136
1627,0.151
1628,0.166
1629,0.176
1630,0.178
1631,0.169
1632,0.146
1633,0.11
1634,0.062
1635,0.007
1636,-0.048
1637,-0.097
1638,-0.135
1639,-0.157
1640,-0.162
1641,-0.149
1642,-0.121
1643,-0.083
1644,-0.039
1645,0.004
1646,0.042
1647,0.072
1648,0.091
1649,0.099
1650,0.096
1651,0.083
1652,0.062
1653,0.035
1654,0.003
1655,-0.029
1656,-0.061
1657,-0.088
1658,-0.11
1659,-0.124
1660,-0.13
1661,-0.128
1662,-0.118
1663,-0.101
1664,-0.077
1665,-0.049
1666,-0.017
1667,0.017
1668,0.052
1669,0.085
1670,0.113
1671,0.133
1672,0.14
1673,0.131
1674,0.107
1675,0.069
1676,0.021
1677,-0.03
1678,-0.076
1679,-0.11
1680,-0.125
1681,-0.12
1682,-0.094
1683,-0.051
1684,0.004
1685,0.062
1686,0.115
1687,0.156
1688,0.178
1689,0.178
1690,0.156
1691,0.115
1692,0.059
1693,-0.003
1694,-0.064
